Episodes, Mean Ret, StDev, Mean Termination
0-9, 45.33, 4.60, 200.00
10-19, 41.27, 5.19, 200.00
20-29, 46.51, 13.30, 200.00
30-39, 56.03, 11.02, 200.00
40-49, 70.90, 9.93, 196.50
50-59, 64.71, 17.42, 187.60
60-69, 58.53, 17.28, 187.20
70-79, 68.98, 10.03, 185.30
80-89, 69.02, 14.61, 189.90
90-99, 76.92, 12.56, 187.90
100-109, 72.21, 8.12, 198.80
110-119, 82.73, 14.48, 192.10
120-129, 71.60, 20.66, 183.20
130-139, 76.97, 20.61, 173.30
140-149, 75.54, 26.77, 164.60
150-159, 85.61, 20.27, 169.60
160-169, 76.79, 12.42, 185.50
170-179, 82.79, 15.56, 185.40
180-189, 90.87, 14.96, 200.00
190-199, 84.29, 21.43, 183.30
200-209, 76.29, 21.87, 173.80
210-219, 80.62, 13.88, 178.40
220-229, 94.66, 15.44, 174.60
230-239, 79.84, 24.95, 155.70
